track_id,track_name,track_duration_min,track_popularity,album_id,album_name,album_release_year,primary_artist,secondary_artists,primary_artist_id,secondary_artists_id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,popularity,followers,primary_genre,other_genre,secondary_artists_0,secondary_artists_1,secondary_artists_2,secondary_artists_3,secondary_artists_4,secondary_artists_id_0,secondary_artists_id_1,secondary_artists_id_2,secondary_artists_id_3,secondary_artists_id_4,other_genre_0,other_genre_1,other_genre_2,other_genre_3,other_genre_4,other_genre_5,other_genre_6
0egGpEnxvNnaUDn1hcMQfV,Victoria's Veil,3.27,27,5HR24TLfeGpDT860C7qka9,9,2017-04-28,Cashmere Cat,,2LZDXcxJWgsJfKXZv9a5eG,,0.577,0.727,4,-5.423,0,0.0596,0.132,0.0951,0.293,0.249,125.965,58,312488,downtempo,"pop, post-teen pop, shiver pop",,,,,,,,,,,pop, post-teen pop, shiver pop,,,,
7nQRexQUCCwAWn2gv1unXd,Non-Intentional (feat. Lou Val),4.41,15,0fRRZjvZhMq5CFdAuuPIcR,Non-Intentional (feat. Lou Val),2017-11-26,K. Forest,Lou Val,1uaS3ZokV40ZrpzSRhx4Ol,3SEwrfPcpXKzLkGUzCHmSq,0.7,0.499,0,-11.376,1,0.146,0.778,0.00025,0.104,0.462,97.958,38,73381,canadian contemporary r&b,"canadian hip hop, pop r&b, trap soul",Lou Val,,,,,3SEwrfPcpXKzLkGUzCHmSq,,,,,canadian hip hop, pop r&b, trap soul,,,,
7cZBWjgSHReDh2EfrSJa9d,FEEL,1.71,26,4sMkAZXTXdtFikLhLqviyZ,Love & Isolation,2021-04-16,Tay Iwar,"Lou Val, Insightful",0iqznAW9pzZ7KOjx8aCMWo,"6u3PN3PCsWLGsw1OffKQ2F, 0iq8RFnJPaAzjxStLi9Y9z",0.658,0.451,6,-10.768,0,0.102,0.749,0.018,0.255,0.425,95.946,53,22284,alte,"alternative r&b, indie r&b, nigerian pop",Lou Val, Insightful,,,,6u3PN3PCsWLGsw1OffKQ2F, 0iq8RFnJPaAzjxStLi9Y9z,,,,alternative r&b, indie r&b, nigerian pop,,,,
7up5MwPUHQdv4DkzQRHRWP,Pure Souls,5.98,82,340MjPcVdiQRnMigrPybZA,Donda,2021-08-29,Kanye West,,5K4W6rqBFWDnAN6FQUkS6x,,0.381,0.528,5,-6.997,1,0.0449,0.102,0.0,0.269,0.256,97.207,97,15087280,chicago rap,rap,,,,,,,,,,,rap,,,,,,
0hWvgmEDItEn75yQSSgVg5,Only One,3.35,27,3wdfgwqVQT0aJTJsqifubF,Aura III,2021-04-09,ELHAE,,6TrQLQR8tUluPbmdPy6jqY,,0.454,0.315,5,-12.869,0,0.293,0.802,0.0,0.118,0.479,85.675,52,171292,alternative r&b,"chill r&b, indie r&b, pop r&b, r&b, trap soul",,,,,,,,,,,chill r&b, indie r&b, pop r&b, r&b, trap soul,,
4Hi0PflDB9TnPAZWLGtgHe,Our Own Roof,5.3,38,5Bd46K8hcylV7O7xz2YqEX,Music for the Motion Picture Victoria,2015-06-15,Nils Frahm,,5gqhueRUZEa7VDnQt4HODp,,0.23,0.114,10,-24.738,0,0.0392,0.0887,0.845,0.316,0.037,52.595,62,504900,compositional ambient,"electronica, neo-classical, neoclassical darkwave",,,,,,,,,,,electronica, neo-classical, neoclassical darkwave,,,,
6uX5AhXSMgvkvEg3kgkKtQ,TRINE,3.14,7,0MT5ZX8H4tuT4ltxqzRVUu,STAYED DOWN,2021-08-20,Marty Valentine,,7JCYYyIBno1eDpBqI436yk,,0.588,0.628,1,-7.506,1,0.134,0.048,0.00011,0.0896,0.828,124.995,8,185,,,,,,,,,,,,,,,,,,,
16bVC5nEXF6I62ebJeYr0u,Separated,3.8,37,3wdfgwqVQT0aJTJsqifubF,Aura III,2021-04-09,ELHAE,,6TrQLQR8tUluPbmdPy6jqY,,0.606,0.523,7,-7.424,0,0.13,0.268,0.0,0.0579,0.298,159.816,52,171292,alternative r&b,"chill r&b, indie r&b, pop r&b, r&b, trap soul",,,,,,,,,,,chill r&b, indie r&b, pop r&b, r&b, trap soul,,
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),4.85,92,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,Drake,Travis Scott,3TVXtAsR1Inumwj472S9r4,0Y5tJX1MQlPlqiwlOH1tJY,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,100,57226391,canadian hip hop,"canadian pop, hip hop, pop rap, rap, toronto rap",Travis Scott,,,,,0Y5tJX1MQlPlqiwlOH1tJY,,,,,canadian pop, hip hop, pop rap, rap, toronto rap,,
01NKQM0t8lyzOo4YZOZLYw,Ayonha,3.69,48,2ndCkboIEM4g6Z2n2IjLd1,Tape 19.11 / Ayonha,2017-10-25,Hamid Al Shaeri,,7u1V0Ucu5ggW1VaXwh8KeT,,0.718,0.73,9,-7.405,1,0.0292,0.54,0.0137,0.147,0.729,122.904,40,27705,arab groove,"arab pop, belly dance, libyan pop",,,,,,,,,,,arab pop, belly dance, libyan pop,,,,
